contest-tmp2m-14d__tmp2m,index
27.073875872513085,375734
25.10930763236406,375735
22.557390260651232,375736
25.572875378503632,375737
20.781073264433175,375738
29.639184386536595,375739
27.696500641054367,375740
28.00245571326696,375741
29.416100951378993,375742
23.18718640096677,375743
22.68696564928819,375744
28.84173860129395,375745
23.553309768971637,375746
23.745304441280535,375747
22.007261914778436,375748
29.3091466482817,375749
23.206224457939847,375750
25.36950497761145,375751
25.814431876121127,375752
27.279191077684416,375753
25.466973772091954,375754
29.92590228543687,375755
25.96784685429314,375756
27.376056873869867,375757
22.803425514699555,375758
29.208850310506392,375759
26.17087481600837,375760
21.280574898704284,375761
24.7963833616004,375762
21.319315011205546,375763
22.604829760445845,375764
26.481197269968337,375765
27.56965475021157,375766
24.686485907671788,375767
29.27565576596063,375768
22.70778290753749,375769
29.275317216294404,375770
22.245099423304218,375771
20.743996350045354,375772
28.080279067482408,375773
21.379212331759348,375774
26.586188647777533,375775
20.748467341968755,375776
26.922330852753262,375777
20.333442963151818,375778
24.36007310578815,375779
20.871199577951927,375780
21.328524933711655,375781
20.28784925714118,375782
27.285982958274396,375783
26.23478347821321,375784
26.039221255664234,375785
26.12270923650753,375786
22.793451678858794,375787
20.50330939855723,375788
24.662499521447746,375789
29.97639069569877,375790
28.1278792055204,375791
29.195931182844003,375792
20.611609819010898,375793
20.189407742087187,375794
28.562752886790165,375795
27.653728388729604,375796
20.578096666130598,375797
20.610889992215863,375798
24.156578892571563,375799
29.00238115770174,375800
26.647140997909485,375801
21.88430263227416,375802
20.34359754818783,375803
28.429153184347612,375804
27.006162197274193,375805
29.939806137166435,375806
27.023732328914388,375807
29.478643441352947,375808
21.68605584525412,375809
28.666431648633207,375810
22.96179737019061,375811
26.907493472078315,375812
25.11443845096623,375813
26.42323198914255,375814
24.99759155813905,375815
25.116758685490563,375816
29.1365325250536,375817
28.054423476477307,375818
25.163306314283993,375819
28.879087648656082,375820
29.34110134049856,375821
23.74027792655185,375822
28.399234713730124,375823
22.139635537116817,375824
23.121991272681434,375825
26.906386602579634,375826
23.05444203609099,375827
29.195029212106153,375828
